;class;question
0;DOC;Hello, honey.help need to carry only together with the originals of the other documents? If I do that will bring you a copy of the certificate, the certificate is not needed?
1;DOC;how many days consider the application in the admissions office in electronic form?
2;RANG;What are the applicants in the first pass on the budget:those who have a higher score, or who first filed the original?That is, I'm on a budget for balls and bring copy of certificate,original certificates brought more than the budget places.The list is composed of those who brought the original and then compare their scores or the score is crucial brought you the original or not?
3;DOC;I have submitted documents in electronic form but still no answer why?
4;DOC;What documents you need to send in the mail?
5;DOC;Please tell me, I sent documents by mail to the faculty of design a week ago, but the lists I have.What do I do?
6;DOC;Tell me, do I have to fill in a form on the website or can all be done in the admissions office?
7;DOC;Hello, prompt, please, you have the example of the statement which must be filed?
8;RANG;Hello. On my site in the lists filed applications for admission are specified in the table under column TYPE - VI, what does that mean? I received the results of the exam, my application for admission today.
9;RANG;Hello! In the list of recommended for admission considered the presence of the original document on education or enough copies? Thank you.
10;DOC;Hello. You can learn more about consent for enrollment? It is signed immediately with the filing of the original certificate or a need for a separate sign on the third of August?
11;ORG;Hello, please tell me, is it possible and is it legal to transfer into the budget of the University, while being the student of a 3 or 4 year of University, studying on a fee?
12;ORG;Hello. interested in your University. The list was provided by military Commissariat. Please answer: if I matriculate at your well, for example Nanoelektronika, then wish to study at the military Department, after successful graduation, I have two specialties (2 diplomas)? Nonresident granted residence? Interested in more languages (English, Chinese?)
13;RANG;Please explain the principles of the formation of a green field.Do I understand correctly that there will only entrants with 1st priority and the original certificate of standing on the descending order of scores?After which entrants will go with the 2nd priority?
14;RANG;Hello!We will submit to MIET the original,can not understand chakraboty priorities.My son 205 points on the exam.I want to put 1-software engineering 2-computer science and engineering and 3-nanoelectronics.What are the chances in the first wave that it will be at least on the nano?After the first two priorities will arise whether it is in the green poltavaelektro it points or after all those who on nano 1 and 2 priority and get lost in lists and do not do?Or to put immediately 1-nano?I would like to enroll in your University in the 1st wave.Thank you.
15;RANG;Hello!I applied for biotechnical systems and technology(1 priority),I have 260 points,I want to learn in your University ,but have not had time to ride the original.What is the meaning of forecast?As I understand it,the green highlights children who today are in the first wave,is that right?If I want to be enrolled in the first wave ,to what number should I bring the original??Tell me ,please.
16;RANG;Hello!Please explain the formation of green lists. In the admissions office said that as soon as you turn green, run, carry the original. And you form a green zone only from those applicants who have provided the original of the certificate, even with low scores. How to understand those who have are copies of documents they are in your University or not?
17;RANG;Can you please tell me when will be open again?
18;RANG;Do I understand correctly that in the green zone to get the students not only enjoyed the original, but with consent for enrollment. In other words, if the applicant sees his name in a green area on 1 August at 18.00, he will be credited by the order of August 3, and no additional consents to sign him is not necessary?
19;DOC;What is the format of the photos to compile a personal file?
20;DOC;You must first send in an e-form, and then give the Commission the necessary original documents (passport, med. certificate, photographs, etc.)?
21;DOC;Good afternoon. Do I need to mail the application for admission or is to be submitted in electronic form?
22;DOC;I learned that this year has not issued certifications exam. Do you need any data, except the passport, to certify the results of the exam(as to see the results on the official portal of used passport number)?
23;DOC;Hello. Filed documents in MIET, the certificate sent by Express mail. Before you send a certificate, call the admissions office and talked with the girl, said certificate to send with a crust or without. We were told that no crust, we sent. Now 19.07.2014 g called us and said that we need to send a crust. But it is also without any seals, labels, etc. Question why it is needed, even if applying to grade 10, we have taken only a certificate of completion of 9th grade, and the crust gave. What do we do now, once again, to send by Express mail the crust of the certificate? Our room personal file: T-388
24;DOC;Hello! The receipt of the originals by the rules - until the 4th August inclusively. But August 3 is a Sunday. In this regard, will be another day for the delivery of the originals?
25;DOC;Hello! Tell me, please, whether the certificate of a form 086-u the faculty of linguistics?
26;DOC;I sent a letter with documents with a declared value. And only then learned that you will receive only a notification letter. Tell me, do you accept such letters or in the near future, better to send copies by registered mail?
27;RANG;Hello. Filled in the online form 2 days ago, but in the lists of the documents filed does not appear, what did I do wrong or what haven't I done? 
28;DOC;Tomorrow is going to bring the originals in MIET,do I need to have a photo or you can bring them back later(and when)?
29;DOC;Hello, prompt, please, on the website is not found on the faculty of the College already too late to apply? Nowhere is the date the College is not specified.
30;ENTER;do not tell me the cost of College?
31;ORG;Hello, prompt, please, if I'm in the second wave will not fall, can I then August 7 to apply for full-time paid training? For me right direction? And then the entire workflow will occur (the original you)? And another question, face-to-face training on a paid basis provides a reprieve from the army?
32;DOC;Hello, is it possible to apply to this UNIVERSITY online ?
33;PRIV;Hello would like to ask you whether at admission on a budgetary place from the direction of companies and how it should be shaped?
34;DOC;Hello. Tell me, can documents to send by email?
35;ENTER;Hello,when will we know the number of budget places?
36;ORG;Hello, as we do in our situation: pass the exam in the second wave (received after College) with at 8.07 15.07, 19.07 reserve day for not surrendering for a valid reason, for a certificate exam 5-7 days, and the reception of documents for entering the results of the exam to 25.07, it turns out that we don't have time to do(we are out of town. What should we do?
37;RANG;Said that will be created an online table showing passing points and not the past...when it will appear?would it be possible to watch her not submitting my documents?
38;RANG;Why not every day will appear ranked online table filed the application, to be able to navigate?
39;RANG;On what basis is formed by the list of names in a table? Is the number of points? 
40;DOC;Can you please tell to what date you need to provide the original documents to 4 August? Will I be able to this time already know, was held on the budget or not?
41;RANG;And you're all still going to contact to find out whether to you or not, and if you opt out, you remove them from the list? Simply, those who are not in the list of the recommended needs to know what their chances of admission to time to submit documents. August 5, this obtained as the second wave? with 4по 5 Aug someone hard to get to apply
42;RANG;The faculty preet to have two guys at 220 points,and three for 219...Question:they settled in a table in accordance with the assessment in math or alphabet?
