question;class
Здравствуйте;GREET
Привет;GREET
Добрый день!;GREET
Привет, Как дела?;GREET
Как твои дела?;GREET
Хорошо;GREET
Приятно познакомиться;GREET
Спасибо.;GREET
Как дела?;GREET
У меня хорошо.;GREET
Привет, приятно познакомиться.;GREET
Спасибо, тебе тоже.;GREET
Приятно видеть тебя.;GREET
Доброе утро!;GREET
Спасибо, дорогрй.;GREET
Че кого?;GREET
Не особо.;GREET
Какие у тебя интересы;GREET
Какие у тебя любимые предметы;GREET
Скажи свой номер;GREET
Какое у тебя любимое число;GREET
Что ты можешь есть;GREET
Почему ты не можешь есть;GREET
Где ты находишься;GREET
Где ты родился;GREET
Где ты;GREET
У тебя есть братья;GREET
Кто твой папа;GREET
Кто твоя мама;GREET
Кто твой босс;GREET
Сколько тебе лет;GREET
Что нового;GREET
Как дела;GREET
Расскажи о себе;GREET
Пока;GREET
До свидания;GREET
Большое спасибо;GREET
Спасибо брат;GREET
Хэй;GREET
Что делаешь;GREET
Что ты умеешь;GREET
Ты лучший;GREET
Как тебя зовут;GREET
Как ты выглядишь;GREET
Че происходит;GREET
Расскажи о себе;GREET
